word,category,lexical_class
pick,action_words,verbs
play,action_words,verbs
pour,action_words,verbs
pretend,action_words,verbs
pull,action_words,verbs
push,action_words,verbs
put,action_words,verbs
read,action_words,verbs
ride,action_words,verbs
rip,action_words,verbs
run,action_words,verbs
say,action_words,verbs
see,action_words,verbs
shake,action_words,verbs
share,action_words,verbs
show,action_words,verbs
sing,action_words,verbs
sit,action_words,verbs
skate,action_words,verbs
sleep,action_words,verbs
smile,action_words,verbs
spill,action_words,verbs
splash,action_words,verbs
stand,action_words,verbs
stay,action_words,verbs
stop,action_words,verbs
sweep,action_words,verbs
swim,action_words,verbs
take,action_words,verbs
talk,action_words,verbs
taste,action_words,verbs
tear,action_words,verbs
think,action_words,verbs
throw,action_words,verbs
tickle,action_words,verbs
touch,action_words,verbs
wait,action_words,verbs
wake,action_words,verbs
walk,action_words,verbs
wash,action_words,verbs
wipe,action_words,verbs
wish,action_words,verbs
write,action_words,verbs
all_gone,descriptive_words,adjectives
asleep,descriptive_words,adjectives
awake,descriptive_words,adjectives
bad,descriptive_words,adjectives
better,descriptive_words,adjectives
big,descriptive_words,adjectives
black,descriptive_words,adjectives
blue,descriptive_words,adjectives
broken,descriptive_words,adjectives
brown,descriptive_words,adjectives
careful,descriptive_words,adjectives
cold,descriptive_words,adjectives
cute,descriptive_words,adjectives
dark,descriptive_words,adjectives
dirty,descriptive_words,adjectives
empty,descriptive_words,adjectives
fast,descriptive_words,adjectives
fine,descriptive_words,adjectives
first,descriptive_words,adjectives
full,descriptive_words,adjectives
gentle,descriptive_words,adjectives
good,descriptive_words,adjectives
green,descriptive_words,adjectives
happy,descriptive_words,adjectives
hard,descriptive_words,adjectives
heavy,descriptive_words,adjectives
high,descriptive_words,adjectives
hot,descriptive_words,adjectives
hungry,descriptive_words,adjectives
hurt,descriptive_words,adjectives
last,descriptive_words,adjectives
little,descriptive_words,adjectives
long,descriptive_words,adjectives
loud,descriptive_words,adjectives
mad,descriptive_words,adjectives
naughty,descriptive_words,adjectives
new,descriptive_words,adjectives
nice,descriptive_words,adjectives
noisy,descriptive_words,adjectives
old,descriptive_words,adjectives
poor,descriptive_words,adjectives
pretty,descriptive_words,adjectives
quiet,descriptive_words,adjectives
red,descriptive_words,adjectives
sad,descriptive_words,adjectives
scared,descriptive_words,adjectives
sick,descriptive_words,adjectives
sleepy,descriptive_words,adjectives
slow,descriptive_words,adjectives
soft,descriptive_words,adjectives
sticky,descriptive_words,adjectives
stuck,descriptive_words,adjectives
thirsty,descriptive_words,adjectives
tiny,descriptive_words,adjectives
tired,descriptive_words,adjectives
wet,descriptive_words,adjectives
white,descriptive_words,adjectives
windy,descriptive_words,adjectives
yellow,descriptive_words,adjectives
yucky,descriptive_words,adjectives
after,time_words,other
before,time_words,other
day,time_words,other
later,time_words,other
morning,time_words,other
night,time_words,other
now,time_words,other
time,time_words,other
today,time_words,other
tomorrow,time_words,other
tonight,time_words,other
yesterday,time_words,other
he,pronouns,function_words
her,pronouns,function_words
hers,pronouns,function_words
him,pronouns,function_words
his,pronouns,function_words
i,pronouns,function_words
it,pronouns,function_words
me,pronouns,function_words
mine,pronouns,function_words
my,pronouns,function_words
myself,pronouns,function_words
our,pronouns,function_words
she,pronouns,function_words
that,pronouns,function_words
their,pronouns,function_words
them,pronouns,function_words
these,pronouns,function_words
they,pronouns,function_words
this,pronouns,function_words
those,pronouns,function_words
us,pronouns,function_words
we,pronouns,function_words
you,pronouns,function_words
your,pronouns,function_words
yourself,pronouns,function_words
how,question_words,function_words
what,question_words,function_words
when,question_words,function_words
where,question_words,function_words
which,question_words,function_words
who,question_words,function_words
why,question_words,function_words
about,locations,function_words
above,locations,function_words
around,locations,function_words
at,locations,function_words
away,locations,function_words
back,locations,function_words
behind,locations,function_words
beside,locations,function_words
by,locations,function_words
down,locations,function_words
for,locations,function_words
here,locations,function_words
inside,locations,function_words
into,locations,function_words
next_to,locations,function_words
of,locations,function_words
off,locations,function_words
on,locations,function_words
on_top_of,locations,function_words
out,locations,function_words
over,locations,function_words
there,locations,function_words
to,locations,function_words
under,locations,function_words
up,locations,function_words
with,locations,function_words
a,quantifiers,function_words
all,quantifiers,function_words
a_lot,quantifiers,function_words
an,quantifiers,function_words
another,quantifiers,function_words
any,quantifiers,function_words
each,quantifiers,function_words
every,quantifiers,function_words
more,quantifiers,function_words
much,quantifiers,function_words
none,quantifiers,function_words
not,quantifiers,function_words
other,quantifiers,function_words
same,quantifiers,function_words
some,quantifiers,function_words
the,quantifiers,function_words
too,quantifiers,function_words
am,helping_verbs,function_words
are,helping_verbs,function_words
be,helping_verbs,function_words
could,helping_verbs,function_words
did,helping_verbs,function_words
do,helping_verbs,function_words
does,helping_verbs,function_words
dont,helping_verbs,function_words
gonna,helping_verbs,function_words
gotta,helping_verbs,function_words
hafta,helping_verbs,function_words
is,helping_verbs,function_words
lemme,helping_verbs,function_words
need,helping_verbs,function_words
try,helping_verbs,function_words
wanna,helping_verbs,function_words
was,helping_verbs,function_words
were,helping_verbs,function_words
will,helping_verbs,function_words
would,helping_verbs,function_words
and,connecting_words,function_words
because,connecting_words,function_words
but,connecting_words,function_words
if,connecting_words,function_words
so,connecting_words,function_words
then,connecting_words,function_words
one,number,other
two,number,other
three,number,other
four,number,other
five,number,other
six,number,other
seven,number,other
eight,number,other
nine,number,other
ten,number,other
eleven,number,other
twelve,number,other
thirteen,number,other
fourteen,number,other
fifteen,number,other
sixteen,number,other
seventeen,number,other
eighteen,number,other
nineteen,number,other
twenty,number,other
thirty,number,other
forty,number,other
fifty,number,other
sixty,number,other
seventy,number,other
eighty,number,other
ninety,number,other
zero,number,other
sleepy,emotion,other
hungry,emotion,other
good,emotion,other
happy,emotion,other
clean,emotion,other
tired,emotion,other
sad,emotion,other
afraid,emotion,other
busy,emotion,other
quiet,emotion,other
angry,emotion,other
helpful,emotion,other
mad,emotion,other
scared,emotion,other
loving,emotion,other
warm,emotion,other
strong,emotion,other
liking,emotion,other
friendly,emotion,other
alone,emotion,other
mean,emotion,other
surprised,emotion,other
gentle,emotion,other
comfortable,emotion,other
excited,emotion,other
cooperative,emotion,other
lost,emotion,other
awful,emotion,other
upset,emotion,other
glad,emotion,other
frightened,emotion,other
uncomfortable,emotion,other
unhappy,emotion,other
relaxed,emotion,other
enjoying,emotion,other
bored,emotion,other
healthy,emotion,other
lazy,emotion,other
safe,emotion,other
lonely,emotion,other
alive,emotion,other
rested,emotion,other
interested,emotion,other
annoyed,emotion,other
lucky,emotion,other
disappointed,emotion,other
ashamed,emotion,other
shy,emotion,other
pleased,emotion,other
worried,emotion,other
calm,emotion,other
embarrassed,emotion,other
hating,emotion,other
lonesome,emotion,other
affectionate,emotion,other
confused,emotion,other
nervous,emotion,other
free,emotion,other
disgusted,emotion,other
caring,emotion,other
cheerful,emotion,other
jealous,emotion,other
peaceful,emotion,other
furious,emotion,other
cruel,emotion,other
delighted,emotion,other
powerful,emotion,other
unafraid,emotion,other
stubborn,emotion,other
fed up,emotion,other
low,emotion,other
pleasant,emotion,other
drowsy,emotion,other
agreeable,emotion,other
concerned,emotion,other
miserable,emotion,other
active,emotion,other
aware,emotion,other
guilty,emotion,other
frustrated,emotion,other
calmed,emotion,other
cautious,emotion,other
thoughtful,emotion,other
anxioius,emotion,other
fearful,emotion,other
troubled,emotion,other
daring,emotion,other
blue,emotion,other
at rest,emotion,other
joyful,emotion,other
helpless,emotion,other
satisfied,emotion,other
drunken,emotion,other
depressed,emotion,other
moody,emotion,other
gloomy,emotion,other
alert,emotion,other
merry,emotion,other
terrified,emotion,other
joyous,emotion,other
shocked,emotion,other
confident,emotion,other
hopeful,emotion,other
mild,emotion,other
relieved,emotion,other
content,emotion,other
aggressive,emotion,other
tender,emotion,other
worthless,emotion,other
hostile,emotion,other
restless,emotion,other
alarmed,emotion,other
hopeless,emotion,other
timid,emotion,other
gay,emotion,other
insecure,emotion,other
weary,emotion,other
rejected,emotion,other
carefree,emotion,other
at ease,emotion,other
envious,emotion,other
tense,emotion,other
dominant,emotion,other
aroused,emotion,other
